# Verification landmarks for the tenki.jp 熊本県 map (pref-46-large).
#
# All rows are '?': these are for verify_affine.py, which projects their
# coordinates against the coastline the map draws. Nothing here was fitted, and
# fit_affine.py skips them all.
#
# Coordinates from OpenStreetMap (Nominatim), each checked against its
# display_name — several plausible-looking queries resolved to other
# prefectures or other countries entirely.
#
# Read distances with the feature in mind. A cape or a port is a coastal point
# and should land within a few hundred metres. An ISLAND row is the island's
# centroid, so it sits about its own radius from the coast by construction;
# expected values are noted per row.
#
# Read 2026-09-24 off precip-images/pref-46-clear-*.jpg. The four good readings
# sit 2.0 px (597 m) from the installed auto_affine affine on average, which is
# within the uncertainty of reading a port — 三角港 and 牛深港 geocode to a park
# and a bridge respectively. They VERIFY the affine; they did not improve it.
# Even with all five corrected the fit scores worse on the overlap test (91.9%
# against 93.5%, optimum 663 m out against 298 m), and its free version still
# claims a -0.55 deg rotation these maps do not have, because the five points
# span only 140 px of 692 in x. Rotation and longitude scale are not determined
# by a set that narrow. To improve 熊本, add northern coastal points (荒尾, 玉名,
# 河内) — they widen the x baseline and reach the latitudes where the overlap
# test disagrees. Nominatim geocodes those names to schools; use 地理院地図.
#
#  px      py      lon           lat          name
295       277       130.468942    32.605726    三角港 (port, north)
253       278       130.337885    32.602839    湯島 (small island)
158       308       130.034630    32.523903    富岡港 (port, west 天草)
# Re-read 2026-09-24. First reading was 255 370, which was wrong by ~10 px: every
# pair of the other four agreed on the latitude scale to 0.3% and every pair
# involving it did not. Corrected to 380, which restored the fit (RMS 3.32 ->
# 0.74 px, aspect -3.48% -> +0.80%).
#
# Treat this row's evidential value with care: 380 is within 0.2 px of what the
# installed affine predicts, so unless it was re-read independently it cannot
# also serve as a check on that affine. The overlap test, which never sees these
# landmarks, is unaffected either way.
255       380       130.347420    32.327860    御所浦島 (island ~13km2 — centroid, too vague to read)
155       433       130.027870    32.194404    牛深港 (port, far south)
