taxon_key,species_key,scientific_name,source,name
2512788,2512788,Wallemia sebi (Fr.) Arx,db,アズキイロカビ
2512788,2512788,Wallemia sebi (Fr.) Arx,gbif,アズキイロカビ
2512861,2512861,Guepiniopsis buccina (Pers.) L.L.Kenn.,db,タテガタツノマタタケ
2512861,2512861,Guepiniopsis buccina (Pers.) L.L.Kenn.,gbif,タテガタツノマタタケ
2512873,2512861,Guepiniopsis merulina (Pers.) Pat.,db,タテガタツノマタタケ
2512873,2512861,Guepiniopsis merulina (Pers.) Pat.,gbif,タテガタツノマタタケ
2512899,2512899,Dacrymyces minor Peck,db,ヒメダクリオキン
2512899,2512899,Dacrymyces minor Peck,gbif,ヒメダクリオキン
2512921,2512921,Dacrymyces chrysospermus Berk. & M.A.Curtis,db,ハナビラダクリオキン
2512921,2512921,Dacrymyces chrysospermus Berk. & M.A.Curtis,gbif,ハナビラダクリオキン
2512923,2512921,Dacrymyces palmatus (Schwein.) Burt,db,ハナビラダクリオキン
2512923,2512921,Dacrymyces palmatus (Schwein.) Burt,gbif,ハナビラダクリオキン
2512925,2512925,Dacrymyces stillatus Nees,db,ダクリオキン
2512943,12257826,Dacryopinax spathularia (Schwein.) G.W.Martin,gbif,ツノマタタケ
2512969,2512969,Calocera cornea (Batsch) Fr.,db,ツノフノリタケ
2512969,2512969,Calocera cornea (Batsch) Fr.,gbif,ツノフノリタケ
2512972,2512969,Calocera palmata (Schumach.) Fr.,db,ツノフノリタケ
2512972,2512969,Calocera palmata (Schumach.) Fr.,gbif,ツノフノリタケ
2512992,2512992,Calocera furcata (Fr.) Fr.,db,アオキツノフノリタケ
2512992,2512992,Calocera furcata (Fr.) Fr.,gbif,フノリタケ
2513201,2513201,Exobasidium shiraianum Henn.,db,シャクナゲコナモチビョウキン
2513201,2513201,Exobasidium shiraianum Henn.,gbif,シャクナゲコナモチビョウキン
2513202,2513202,Exobasidium pieridis-ovalifoliae Sawada,db,ネジキヒラモチビョウキン
2513202,2513202,Exobasidium pieridis-ovalifoliae Sawada,gbif,ネジキヒラモチビョウキン
2513212,2513212,Exobasidium gracile (Shirai) Syd. & P.Syd.,db,サザンカモチビョウキン
2513212,2513212,Exobasidium gracile (Shirai) Syd. & P.Syd.,gbif,サザンカモチビョウキン
2513218,2513218,Exobasidium bisporum Sawada ex Ezuka,db,ハナヒリヒラモチビョウキン
2513218,2513218,Exobasidium bisporum Sawada ex Ezuka,gbif,ハナヒリヒラモチビョウキン
2513221,2513221,Exobasidium vexans Massee,db,チャハブクレモチビョウキン
2513221,2513221,Exobasidium vexans Massee,gbif,チャハブクレモチビョウキン
2513225,2513225,Exobasidium japonicum Shirai,db,ツツジモチビョウキン
2513225,2513225,Exobasidium japonicum Shirai,gbif,ツツジモチビョウキン
2513227,2513225,Exobasidium caucasicum Woron.,db,ツツジモチビョウキン
2513227,2513225,Exobasidium caucasicum Woron.,gbif,ツツジモチビョウキン
2513231,2513231,Exobasidium pentasporium Shirai,db,ツツジテングスモチビョウキン
2513231,2513231,Exobasidium pentasporium Shirai,gbif,ツツジテングスモチビョウキン
2513238,2513238,Exobasidium reticulatum S.Ito & Sawada,db,チャアミモチビョウキン
2513238,2513238,Exobasidium reticulatum S.Ito & Sawada,gbif,チャアミモチビョウキン
2513253,2513253,Exobasidium camelliae Shirai,db,ツバキモチビョウキン
2513253,2513253,Exobasidium camelliae Shirai,gbif,ツバキモチビョウキン
2513307,2513307,Dicellomyces gloeosporus L.S.Olive,db,ササノヒメサラタケ
2513709,2553128,Stereum rameale (Pers.) Burt,db,キウロコタケ
2513741,2513741,Septobasidium bogoriense Pat.,db,ハイイロモンパキン
2513741,2513741,Septobasidium bogoriense Pat.,gbif,ハイイロモンパキン
2513805,2513805,Helicobasidium mompa Nobuj.Tanaka,db,ムラサキモンパキン
2513806,2513805,Septobasidium mompa (Nobuj.Tanaka) Racib.,db,ムラサキモンパキン
2515526,2515526,Puccinia kusanoi Dietel,gbif,ウツギさび病菌
2516220,2516220,Stereostratum corticioides (Berk. & Broome) H.Magn.,gbif,メダケ赤衣病菌
2516222,2516220,Puccinia corticioides Berk. & Broome,gbif,メダケ赤衣病菌
2516572,2516572,Phragmidium rosae-multiflorae Dietel,gbif,ノイバラサビ病菌
2518309,2518309,Holtermannia coralloides Kobayasi,db,サンゴタケ
2518309,2518309,Holtermannia coralloides Kobayasi,gbif,サンゴタケ
2518310,2518310,Holtermannia corniformis Kobayasi,db,ニカワツノタケ
2518310,2518310,Holtermannia corniformis Kobayasi,gbif,ニカワツノタケ
2518446,2518446,Sirobasidium magnum Boedijn,gbif,フクロキクラゲ
2518446,2518446,Sirobasidium magnum Boedijn,gbif,袋木耳
2518664,9366699,Schizopora flavipora (Berk. & M.A.Curtis ex Cooke) Ryvarden,gbif,アナタケ
2518675,9366699,Hyphodontia flavipora (Berk. & M.A.Curtis ex Cooke) Sheng H.Wu,gbif,アナタケ
2518684,2518684,Schizopora paradoxa (Schrad.) Donk,db,アナタケ
2518693,2518684,Irpex deformis Schrad. ex Fr.,db,アナタケ
2518695,2518684,Hyphodontia paradoxa (Schrad.) Langer & Vesterh.,db,アナタケ
2518696,2518684,Xylodon paradoxus (Schrad.) Chevall.,db,アナタケ
2518701,2518684,Irpex obliquus (Schrad.) Fr.,db,アナタケ
2518886,2518880,Xylodon quercinus (Pers.) Gray,db,アカオクバタケ
2518950,2518950,Hyphodontia arguta (Fr.) J.Erikss.,db,ヘラバタケモドキ
2518950,2518950,Hyphodontia arguta (Fr.) J.Erikss.,gbif,ヘラバタケモドキ
2518963,2518963,Hyphodontia pallidula (Bres.) J.Erikss.,db,ネンドカワタケ
2518983,2518983,Hyphodontia spathulata (Schrad.) Parmasto,db,ササクレコメバタケモドキ
2519068,2519068,Echinoporia hydnophora (Berk. & Broome) Ryvarden,db,トゲオシロイタケ
2519068,2519068,Echinoporia hydnophora (Berk. & Broome) Ryvarden,gbif,トゲオシロイタケ
2519137,2519134,Radulum pallidum Berk. & M.A.Curtis,db,アメイロオクバタケ
2519154,5237636,"Basidioradulum crustosum (Pers.) Zmitr., Malysheva & Spirin",gbif,ヒビワレコメバタケ
2519155,5237636,Grandinia crustosa (Pers.) Fr.,gbif,ヒビワレコメバタケ
2519158,5237636,Hyphodontia crustosa (Pers.) J.Erikss.,gbif,ヒビワレコメバタケ
2519226,2519226,Erythromyces crocicreas (Berk. & Broome) Hjortstam & Ryvarden,db,キゾメウロコタケ
2519226,2519226,Erythromyces crocicreas (Berk. & Broome) Hjortstam & Ryvarden,gbif,キゾメウロコタケ
2519230,2519226,Hymenochaete crocicreas Berk. & Broome,db,キゾメウロコタケ
