id,scientific_name,japanese_name,shape_id
26,Abrothallaceae,,51
27,Acarosporaceae,,51
28,Acaulosporaceae,,51
29,Acrodictyaceae,,51
30,Acrogenosporaceae,,51
31,Acrospermaceae,,51
32,Agaricaceae,ハラタケ科,49
33,Agaricostilbaceae,,51
34,Agyriaceae,,51
35,Aigialaceae,,51
36,Ajellomycetaceae,,51
37,Albatrellaceae,,49
38,Amanitaceae,テングタケ科,49
39,Ambisporaceae,,51
40,Amicodiscaceae,,52
41,Amniculicolaceae,,51
42,Amphisphaeriaceae,,51
43,Amplistromataceae,,51
44,Amylocorticiaceae,,51
45,Ancylistaceae,,51
46,Anthracoideaceae,,51
47,Apiosporaceae,,51
48,Aplosporellaceae,,51
49,Aporpiaceae,,53
50,Aquasubmersaceae,,51
51,Arachnopezizaceae,,52
52,Archaeorhizomycetaceae,,51
53,Archaeosporaceae,,51
54,Arctomiaceae,,51
55,Armatellaceae,,51
56,Arthoniaceae,,51
57,Arthrodermataceae,,51
58,Arthrorhaphidaceae,,51
59,Ascobolaceae,,52
60,Ascocorticiaceae,,52
61,Ascodesmidaceae,,52
62,Ascosphaeraceae,,51
63,Aspergillaceae,,51
64,Asterinaceae,,51
65,Asterosporiaceae,,51
66,Astrosphaeriellaceae,,51
67,Atheliaceae,,51
68,Atractosporaceae,,51
69,Auriculariaceae,キクラゲ科,53
70,Auriscalpiaceae,,54
71,Australiascaceae,,51
72,Backusellaceae,,51
73,Baeomycetaceae,,51
74,Balladynaceae,,51
75,Bambusicolaceae,,51
76,Bankeraceae,ニセショウロ科,54
77,Bartaliniaceae,,51
78,Bartheletiaceae,,51
79,Basidiobolaceae,,51
80,Beltraniaceae,,51
81,Bertiaceae,,51
82,Biannulariaceae,,49
83,Bionectriaceae,,51
84,Bolbitiaceae,,49
85,Boletaceae,イグチ科,49
86,Boletinellaceae,,49
87,Boliniaceae,,51
88,Bombardiaceae,,51
89,Bondarzewiaceae,,55
90,Botryobasidiaceae,,56
91,Botryosphaeriaceae,,51
92,Brachybasidiaceae,,53
93,Brigantiaeaceae,,51
94,Bryoglossaceae,,52
95,Buckleyzymaceae,,51
96,Bulgariaceae,,52
97,Bulleraceae,,53
98,Bulleribasidiaceae,,53
99,Byssolomataceae,,51
100,Cainiaceae,,51
101,Calcarisporiaceae,,51
102,Calcarisporiellaceae,,51
103,Caliciaceae,,51
104,Callistosporiaceae,,49
105,Calloriaceae,,52
106,Caloscyphaceae,,52
107,Calosphaeriaceae,,51
108,Calostomataceae,,49
109,Camarosporiaceae,,51
110,Camarosporidiellaceae,,51
111,Camptobasidiaceae,,51
112,Cancellidiaceae,,51
113,Candelariaceae,,51
114,Capnodiaceae,,51
115,Carbonicolaceae,,51
116,Caryosporaceae,,51
117,Castanediellaceae,,51
118,Catenariaceae,,51
119,Catillariaceae,,51
120,Cenangiaceae,,52
121,Cephaloascaceae,,51
122,Cephalothecaceae,,51
123,Ceratobasidiaceae,,56
124,Ceratocystidaceae,,51
125,Ceratomycetaceae,,51
126,Ceratosphaeriaceae,,51
127,Ceratostomataceae,,51
128,Cerinomycetaceae,,53
129,Cerrenaceae,,55
130,Chaconiaceae,,51
131,Chaetomellaceae,,51
132,Chaetomiaceae,,51
133,Chaetosphaerellaceae,,51
134,Chaetosphaeriaceae,,51
135,Chionosphaeraceae,,51
136,Chlorociboriaceae,,52
137,Chlorospleniaceae,,52
138,Choanephoraceae,,51
139,Chorioactidaceae,,52
140,Chromocyphellaceae,,49
141,Chrysotrichaceae,,51
142,Chrysozymaceae,,51
143,Chytridiaceae,,51
144,Chytriomycetaceae,,51
145,Cladochytriaceae,,51
146,Cladoniaceae,,51
147,Cladosporiaceae,,51
148,Clavariaceae,シロソウメンタケ科,56
149,Clavariadelphaceae,,56
150,Clavicipitaceae,,51
151,Coccocarpiaceae,,51
152,Coccoideaceae,,51
153,Coccotremataceae,,51
154,Cochlonemataceae,,51
155,Cocoonihabitaceae,,51
156,Coelomomycetaceae,,51
157,Coenogoniaceae,,52
158,Colacogloeaceae,,51
159,Coleosporiaceae,,51
160,Collemataceae,,51
161,Collimycetaceae,,51
162,Coniochaetaceae,,51
163,Coniocybaceae,,51
164,Coniophoraceae,,49
165,Conioscyphaceae,,51
166,Coniosporiaceae,,51
167,Coniothyriaceae,,51
168,Cookellaceae,,51
169,Cordanaceae,,51
170,Cordieritidaceae,,52
171,Cordycipitaceae,,51
172,Corticiaceae,,51
173,Cortinariaceae,フウセンタケ科,49
174,Coryneaceae,,51
175,Coryneliaceae,,51
176,Corynesporascaceae,,51
177,Crepidotaceae,,49
178,Cronartiaceae,,51
179,Cryphonectriaceae,,51
180,Cryptobasidiaceae,,53
181,Cryptococcaceae,,53
182,Cryptocoryneaceae,,51
183,Cucurbitariaceae,,51
184,Cudoniaceae,,52
185,Cuniculitremaceae,,53
186,Cunninghamellaceae,,51
187,Cyclothyriellaceae,,51
188,Cylindriaceae,,51
189,Cylindrosympodiaceae,,51
190,Cyphellaceae,,49
191,Cyphellophoraceae,,51
192,Cystobasidiaceae,,51
193,Cystofilobasidiaceae,,51
194,Dacrymycetaceae,アカキクラゲ科,53
195,Dacryobolaceae,,55
196,Dactylosporaceae,,51
197,Davidiellaceae,,51
198,Debaryomycetaceae,,51
199,Dermateaceae,,52
200,Diaporthaceae,,51
201,Diatrypaceae,,51
202,Dictyosporiaceae,,51
203,Didymellaceae,,51
204,Didymosphaeriaceae,,51
205,Diplocystidiaceae,,49
206,Diplogelasinosporaceae,,51
207,Dipodascaceae,,51
208,Discinaceae,,52
209,Discinellaceae,,52
210,Discosiaceae,,51
211,Distoseptisporaceae,,51
212,Diversisporaceae,,51
213,Doassansiaceae,,51
214,Doassansiopsidaceae,,51
215,Dothideaceae,,51
216,Dothidotthiaceae,,51
217,Dothioraceae,,51
218,Drepanopezizaceae,,52
219,Eballistraceae,,51
220,Echinodontiaceae,,49
221,Elaphomycetaceae,,57
222,Elixiaceae,,51
223,Elsinoaceae,,51
224,Endogonaceae,,57
225,Endoraeciaceae,,51
226,Englerulaceae,,51
227,Entolomataceae,イッポンシメジ科,49
228,Entomophthoraceae,,51
229,Entorrhizaceae,,51
230,Entrophosporaceae,,51
231,Entylomataceae,,51
232,Eocronartiaceae,,53
233,Epibryaceae,,51
234,Eremotheciaceae,,51
235,Erysiphaceae,,52
236,Erythrobasidiaceae,,51
237,Erythrogloeaceae,,51
238,Exidiaceae,,53
239,Exobasidiaceae,,53
240,Fibroporiaceae,,55
241,Filobasidiaceae,,51
242,Fistulinaceae,,49
243,Floromycetaceae,,51
244,Fomitopsidaceae,サルノコシカケ科,55
245,Fuscideaceae,,51
246,Fuscostagonosporaceae,,51
247,Gallaceaceae,,57
248,Ganodermataceae,,55
249,Gastrosporiaceae,,58
250,Geastraceae,ツチグリ科,50
251,Gelatinodiscaceae,,52
252,Gelatoporiaceae,,55
253,Geminibasidiaceae,,51
254,Geoglossaceae,,52
255,Georgefischeriaceae,,51
256,Gigasporaceae,,51
257,Gjaerumiaceae,,51
258,Gloeophyllaceae,,55
259,Glomeraceae,,51
260,Glomerellaceae,,51
261,Glomosporiaceae,,51
262,Gloniaceae,,52
263,Gnomoniaceae,,51
264,Godroniaceae,,52
265,Golubeviaceae,,51
266,Gomphaceae,,56
267,Gomphidiaceae,,49
268,Gomphillaceae,,52
269,Gonapodyaceae,,51
270,Graphidaceae,,52
271,Graphiolaceae,,53
272,Graphostromataceae,,51
273,Grifolaceae,,55
274,Gyalectaceae,,52
275,Gymnoascaceae,,51
276,Gymnosporangiaceae,,51
277,Gyroporaceae,,49
278,Haematommataceae,,51
279,Halosphaeriaceae,,51
280,Hamatocanthoscyphaceae,,52
281,Harpellaceae,,51
282,Helicobasidiaceae,,53
283,Helicocephalidaceae,,51
284,Helicogoniaceae,,52
285,Helminthosphaeriaceae,,51
286,Helocarpaceae,,51
287,Helotiaceae,,52
288,Helvellaceae,シャグマアミガサタケ科,52
289,Hericiaceae,サンゴハリタケ科,54
290,Hermatomycetaceae,,51
291,Herpotrichiellaceae,,51
292,Heterogastridiaceae,,53
293,Holtermanniaceae,,53
294,Hyaloriaceae,,53
295,Hyaloscyphaceae,,52
296,Hydnaceae,ヒダナシタケ科,54
297,Hydnangiaceae,,49
298,Hydnodontaceae,,51
299,Hygrophoraceae,,49
300,Hygrophoropsidaceae,,49
301,Hymeneliaceae,,51
302,Hymenochaetaceae,サビアナタケ科,55
303,Hymenogastraceae,,49
304,Hyphodermataceae,,55
305,Hyphodiscaceae,,52
306,Hyphodontiaceae,,55
307,Hypocreaceae,,51
308,Hyponectriaceae,,51
309,Hypoxylaceae,,51
310,Hysterangiaceae,,58
311,Hysteriaceae,,52
312,Icmadophilaceae,,51
313,Incrustoporiaceae,,55
314,Induratiaceae,,51
315,Inocybaceae,アセタケ科,49
316,Irpicaceae,,55
317,Ischnodermataceae,,55
318,Jianyuniaceae,,51
319,Juglanconidaceae,,51
320,Juncigenaceae,,51
321,Karstenellaceae,,52
322,Kickxellaceae,,51
323,Kirschsteiniotheliaceae,,51
324,Kondoaceae,,51
325,Kriegeriaceae,,51
326,Laboulbeniaceae,,51
327,Lachnaceae,,52
328,Lachnocladiaceae,,49
329,Laetiporaceae,,55
330,Lasiosphaeriaceae,,51
331,Latoruaceae,,51
332,Lauriomycetaceae,,51
333,Laurobasidiaceae,,53
334,Lecanographaceae,,51
335,Lecanoraceae,,51
336,Lecideaceae,,51
337,Legeriomycetaceae,,51
338,Lembosinaceae,,51
339,Lentamycetaceae,,51
340,Lentariaceae,,56
341,Lentitheciaceae,,51
342,Lentomitellaceae,,51
343,Lentoporiaceae,,55
344,Leotiaceae,,52
345,Lepidostromataceae,,51
346,Leprocaulaceae,,51
347,Leptodontidiaceae,,52
348,Leptosphaeriaceae,,51
349,Letrouitiaceae,,51
350,Leucosporidiaceae,,51
351,Lichenoconiaceae,,51
352,Lichinaceae,,51
353,Lichtheimiaceae,,51
354,Limnoperdaceae,,49
355,Lindgomycetaceae,,51
356,Lineolataceae,,51
357,Lipomycetaceae,,51
358,Lobariaceae,,51
359,Lobulomycetaceae,,51
360,Longiostiolaceae,,51
361,Longipedicellataceae,,51
362,Lopadiaceae,,51
363,Lopadostomataceae,,51
364,Lophiostomataceae,,51
365,Lophiotremataceae,,51
366,Lulworthiaceae,,51
367,Lycoperdaceae,,50
368,Lyophyllaceae,シメジ科,49
369,Macrocystidiaceae,,49
370,Magnaporthaceae,,51
371,Malasseziaceae,,51
372,Malmideaceae,,51
373,Marasmiaceae,オキナタケ科,49
374,Marthamycetaceae,,51
375,Massalongiaceae,,51
376,Massariaceae,,51
377,Massarinaceae,,51
378,Megalosporaceae,,51
379,Megasporaceae,,51
380,Melampsoraceae,,51
381,Melanconidaceae,,51
382,Melanconiellaceae,,51
383,Melanommataceae,,51
384,Melanotaeniaceae,,51
385,Melaspileaceae,,51
386,Meliolaceae,,51
387,Meliolinaceae,,51
388,Melogrammataceae,,51
389,Meripilaceae,マイタケ科,55
390,Meruliaceae,,55
391,Metacapnodiaceae,,51
392,Metschnikowiaceae,,51
393,Microascaceae,,51
394,Microbotryaceae,,51
395,Microcaliciaceae,,51
396,Microdochiaceae,,51
397,Micropeltidaceae,,51
398,Microstromataceae,,51
399,Microthyriaceae,,51
400,Mikronegeriaceae,,51
401,Milesinaceae,,51
402,Minutisphaeraceae,,51
403,Mixiaceae,,53
404,Mniaeciaceae,,52
405,Mollisiaceae,,52
406,Monascaceae,,51
407,Moniliellaceae,,51
408,Monoblastiaceae,,51
409,Morchellaceae,アミガサタケ科,52
410,Morosphaeriaceae,,51
411,Mortierellaceae,,51
412,Mrakiaceae,,51
413,Mucoraceae,,51
414,Muyocopronaceae,,51
415,Mycenaceae,,49
416,Mycocaliciaceae,,51
417,Mycosphaerellaceae,,51
418,Mycotyphaceae,,51
419,Myriangiaceae,,51
420,Myrmecridiaceae,,51
421,Myrotheciomycetaceae,,51
422,Mytilinidiaceae,,52
423,Myxotrichaceae,,52
424,Naemateliaceae,,53
425,Naetrocymbaceae,,51
426,Naviculisporaceae,,51
427,Nectriaceae,,51
428,Neoantrodiellaceae,,55
429,Neocamarosporiaceae,,51
430,Neohendersoniaceae,,51
431,Neolectaceae,,52
432,Neophysopellaceae,,51
433,Neopyrenochaetaceae,,51
434,Neoschizotheciaceae,,51
435,Nephromataceae,,51
436,Niaceae,,49
437,Nidulariaceae,,49
438,Niessliaceae,,51
439,Nigrofomitaceae,,55
440,Nigrogranaceae,,51
441,Nitschkiaceae,,51
442,Nowakowskiellaceae,,51
443,Ochrolechiaceae,,51
444,Ochropsoraceae,,51
445,Odontotremataceae,,52
446,Olpidiaceae,,51
447,Omphalotaceae,ツキヨタケ科,49
448,Onygenaceae,,51
449,Opegraphaceae,,51
450,Ophioceraceae,,51
451,Ophiocordycipitaceae,,51
452,Ophioparmaceae,,51
453,Ophiostomataceae,,51
454,Orbiliaceae,,52
455,Orphellaceae,,51
456,Otideaceae,,52
457,Oxyporaceae,,55
458,Panaceae,,55
459,Pannariaceae,,51
460,Parabambusicolaceae,,51
461,Paraglomeraceae,,51
462,Parasympodiellaceae,,51
463,Parmeliaceae,,51
464,Parmulariaceae,,51
465,Parodiellaceae,,51
466,Parodiopsidaceae,,51
467,Patellariaceae,,51
468,Paxillaceae,,49
469,Peltigeraceae,,51
470,Peltulaceae,,51
471,Peniophoraceae,,49
472,Periconiaceae,,51
473,Perisporiopsidaceae,,51
474,Pertusariaceae,,51
475,Pestalotiopsidaceae,,51
476,Pezizaceae,チャワンタケ科,52
477,Pezizellaceae,,52
478,Phacidiaceae,,52
479,Phaeochoraceae,,51
480,Phaeococcomycetaceae,,51
481,Phaeosphaeriaceae,,51
482,Phaeotremellaceae,,53
483,Phaeotrichaceae,,51
484,Phaffomycetaceae,,51
485,Phakopsoraceae,,51
486,Phallaceae,スッポンタケ科,58
487,Phallogastraceae,,57
488,Phanerochaetaceae,,55
489,Phleogenaceae,,53
490,Phlyctidaceae,,52
491,Phomatosporaceae,,51
492,Phragmidiaceae,,51
493,Phycomycetaceae,,51
494,Phyllachoraceae,,51
495,Phyllostictaceae,,51
496,Phyllotopsidaceae,,49
497,Physalacriaceae,モエギタケ科,49
498,Physciaceae,,51
499,Physodermataceae,,51
500,Pichiaceae,,51
501,Pileolariaceae,,51
502,Pilobolaceae,,51
503,Pilocarpaceae,,51
504,Piptocephalidaceae,,51
505,Piskurozymaceae,,51
506,Pisorisporiaceae,,51
507,Placynthiaceae,,51
508,Planistromellaceae,,51
509,Platygloeaceae,,53
510,Plectosphaerellaceae,,51
511,Pleomassariaceae,,51
512,Pleomonodictydaceae,,51
513,Pleosporaceae,,51
514,Pleuroascaceae,,52
515,Pleurostomataceae,,51
516,Pleurotaceae,ヒラタケ科,49
517,Pleurotheciaceae,,51
518,Ploettnerulaceae,,52
519,Pluteaceae,,49
520,Podonectriaceae,,51
521,Podoscyphaceae,,55
522,Podosporaceae,,51
523,Polyporaceae,タコウキン科,55
524,Polystomellaceae,,51
525,Porinaceae,,52
526,Porotheleaceae,,49
527,Protomycetaceae,,51
528,Psathyrellaceae,ナヨタケ科,49
529,Pseudeurotiaceae,,52
530,Pseudoclitocybaceae,,49
531,Pseudodidymellaceae,,51
532,Pseudohalonectriaceae,,51
533,Pseudolophiotremataceae,,51
534,Pseudomassariaceae,,51
535,Pseudombrophilaceae,,52
536,Pseudoperisporiaceae,,51
537,Pseudopyrenochaetaceae,,51
538,Psoraceae,,51
539,Pterulaceae,,49
540,Pucciniaceae,,51
541,Pucciniastraceae,,51
542,Pucciniosiraceae,,51
543,Pulvinulaceae,,52
544,Punctulariaceae,,51
545,Pycnoporellaceae,,55
546,Pyrenulaceae,,51
547,Pyriculariaceae,,51
548,Pyronemataceae,,52
549,Radulomycetaceae,,49
550,Ramalinaceae,,51
551,Ramboldiaceae,,51
552,Raveneliaceae,,51
553,Repetobasidiaceae,,55
554,Reticulascaceae,,51
555,Rhamphoriaceae,,51
556,Rhamphosporaceae,,51
557,Rhizinaceae,,52
558,Rhizocarpaceae,,51
559,Rhizophlyctidaceae,,51
560,Rhizophydiaceae,,51
561,Rhizopodaceae,,51
562,Rhizopogonaceae,,57
563,Rhynchogastremaceae,,53
564,Rhytismataceae,,52
565,Rickenellaceae,,55
566,Robbaueraceae,,51
567,Robillardaceae,,51
568,Roccellaceae,,51
569,Rogerpetersoniaceae,,51
570,Roussoellaceae,,51
571,Ruineniaceae,,51
572,Russulaceae,ベニタケ科,49
573,Rutstroemiaceae,,52
574,Saccharomycetaceae,,51
575,Saccharomycodaceae,,51
576,Saccharomycopsidaceae,,51
577,Saccotheciaceae,,51
578,Sakaguchiaceae,,51
579,Sarcomyxaceae,,49
580,Sarcoporiaceae,,55
581,Sarcoscyphaceae,サカズキキン科,52
582,Sarcosomataceae,,52
583,Sareaceae,,51
584,Sarocladiaceae,,51
585,Sarrameanaceae,,51
586,Savoryellaceae,,51
587,Schaereriaceae,,51
588,Schizoparmaceae,,51
589,Schizophyllaceae,,49
590,Schizoporaceae,,55
591,Schizosaccharomycetaceae,,51
592,Schizothyriaceae,,51
593,Sclerococcaceae,,51
594,Sclerodermataceae,,50
595,Sclerogastraceae,,49
596,Sclerotiniaceae,,52
597,Scoliciosporaceae,,51
598,Sebacinaceae,,53
599,Septobasidiaceae,,51
600,Serpulaceae,,49
601,Seuratiaceae,,51
602,Shiraiaceae,,51
603,Sirobasidiaceae,,53
604,Sistotremastraceae,,51
605,Sistotremataceae,,51
606,Skierkaceae,,51
