id,scientific_name,japanese_name,family_id
20,Abrothallus,,26
21,Acarospora,,27
22,Eiglera,,27
23,Myriospora,,27
24,Sarcogyne,,27
25,Acaulospora,,28
26,Acrodictys,,29
27,Acrogenospora,,30
28,Acrospermum,,31
29,Agaricus,ハラタケ属,32
30,Arachnion,,32
31,Chamaemyces,,32
32,Chlorophyllum,,32
33,Coprinus,ヒトヨタケ属,32
34,Crucispora,,32
35,Cyathus,,32
36,Cystodermella,,32
37,Cystolepiota,,32
38,Disciseda,,32
39,Echinoderma,,32
40,Japonogaster,,32
41,Lepiota,,32
42,Leucoagaricus,,32
43,Leucocoprinus,,32
44,Leucopholiota,,32
45,Lycoperdon,ホコリタケ属,32
46,Macrolepiota,オニカラカサタケ属,32
47,Melanophyllum,,32
48,Micropsalliota,,32
49,Nidula,,32
50,Nidularia,,32
51,Podaxis,,32
52,Queletia,,32
53,Ripartitella,,32
54,Tulostoma,,32
55,Pseudobensingtonia,,33
56,Sterigmatomyces,,33
57,Xylographa,,34
58,Aigialus,,35
59,Fissuroma,,35
60,Ajellomyces,,36
61,Emmonsiellopsis,,36
62,Histoplasma,,36
63,Paracoccidioides,,36
64,Albatrellopsis,,37
65,Albatrellus,,37
66,Neoalbatrellus,,37
67,Scutiger,,37
68,Amanita,テングタケ属,38
69,Limacella,,38
70,Zhuliangomyces,,38
71,Ambispora,,39
72,Amicodisca,,40
73,Fouskomenomyces,,41
74,Murispora,,41
75,Pseudomassariosphaeria,,41
76,Amphisphaeria,,42
77,Beltraniella,,42
78,Ceratosporium,,42
79,Immersidiscosia,,42
80,Microdochium,,42
81,Monochaetia,,42
82,Synnemapestaloides,,42
83,Neoacrodontium,,43
84,Wallrothiella,,43
85,Anomoloma,,44
86,Anomoporia,,44
87,Plicaturopsis,,44
88,Conidiobolus,,45
89,Anthracoidea,,46
90,Cintractia,,46
91,Leucocintractia,,46
92,Moreaua,,46
93,Pilocintractia,,46
94,Tolyposporium,,46
95,Ustanciosporium,,46
96,Apiospora,,47
97,Arthrinium,,47
98,Cordella,,47
99,Spegazzinia,,47
100,Aplosporella,,48
101,Aporpium,,49
102,Aquasubmersa,,50
103,Arachnopeziza,,51
104,Parachnopeziza,,51
105,Archaeorhizomyces,,52
106,Archaeospora,,53
107,Arctomia,,54
108,Armatella,,55
109,Arthonia,,56
110,Arthothelium,,56
111,Bryostigma,,56
112,Coniarthonia,,56
113,Coniocarpon,,56
114,Eremothecella,,56
115,Herpothallon,,56
116,Inoderma,,56
117,Sporodophoron,,56
118,Synarthonia,,56
119,Arthroderma,,57
120,Epidermophyton,,57
121,Microsporum,,57
122,Nannizzia,,57
123,Paraphyton,,57
124,Trichophyton,,57
125,Arthrorhaphis,,58
126,Ascobolus,,59
127,Saccobolus,,59
128,Thecotheus,,59
129,Ascocorticium,,60
130,Ascodesmis,,61
131,Cephaliophora,,61
132,Eleutherascus,,61
133,Lasiobolus,,61
134,Pulchromyces,,61
135,Ascosphaera,,62
136,Bettsia,,62
137,Aspergillus,,63
138,Chromocleista,,63
139,Dendrosphaera,,63
140,Emericella,,63
141,Eurotium,,63
142,Hamigera,,63
143,Leiothecium,,63
144,Neocarpenteles,,63
145,Neosartorya,,63
146,Paecilomyces,,63
147,Penicilliopsis,,63
148,Penicillium,,63
149,Phialomyces,,63
150,Pseudopenicillium,,63
151,Rasamsonia,,63
152,Sagenomella,,63
153,Talaromyces,,63
154,Asterina,,64
155,Dothidasteromella,,64
156,Echidnodella,,64
157,Englera,,64
158,Halbania,,64
159,Lembosia,,64
160,Morenoina,,64
161,Asterosporium,,65
162,Astrosphaeriella,,66
163,Pithomyces,,66
164,Amphinema,,67
165,Athelia,,67
166,Athelopsis,,67
167,Byssocorticium,,67
168,Fibulomyces,,67
169,Leptosporomyces,,67
170,Lyoathelia,,67
171,Melzericium,,67
172,Piloderma,,67
173,Tylospora,,67
174,Atractospora,,68
175,Amphistereum,,69
176,Auricularia,キクラゲ属,69
177,Eichleriella,,69
178,Elmerina,,69
179,Exidia,,69
180,Exidiopsis,,69
181,Grammatus,,69
182,Heterochaete,,69
183,Protodaedalea,,69
184,Tremellochaete,,69
185,Artomyces,,70
186,Auriscalpium,,70
187,Lentinellus,,70
188,Monilochaetes,,71
189,Backusella,,72
190,Ainoa,,73
191,Baeomyces,,73
192,Balladyna,,74
193,Magnicamarosporium,,75
194,Boletopsis,,76
195,Calodon,,76
196,Hydnellum,,76
197,Sarcodon,,76
198,Bartalinia,,77
199,Bartheletia,,78
200,Basidiobolus,,79
201,Beltrania,,80
202,Bertia,,81
203,Catathelasma,,82
204,Acremonium,,83
205,Bionectria,,83
206,Caespitomonium,,83
207,Clonostachys,,83
208,Didymostilbe,,83
209,Geosmithia,,83
210,Gliomastix,,83
211,Heleococcum,,83
212,Ijuhya,,83
213,Kallichroma,,83
214,Lasionectria,,83
215,Mycocitrus,,83
216,Nectriopsis,,83
217,Ovicillium,,83
218,Peristomialis,,83
219,Stephanonectria,,83
220,Valsonectria,,83
221,Verrucostoma,,83
222,Bolbitius,,84
223,Conocybe,,84
224,Descolea,,84
225,Panaeolina,,84
226,Panaeolus,,84
227,Amoenoboletus,,85
228,Anthracoporus,,85
229,Aureoboletus,,85
230,Austroboletus,,85
231,Baorangia,,85
232,Boletellus,,85
233,Boletus,ヤマドリタケ属,85
234,Buchwaldoboletus,,85
235,Butyriboletus,,85
236,Caloboletus,,85
237,Chalciporus,,85
238,Chamonixia,,85
239,Chiua,,85
240,Crocinoboletus,,85
241,Cyanoboletus,,85
242,Exsudoporus,,85
243,Fistulinella,,85
244,Harrya,,85
245,Heimioporus,,85
246,Heliogaster,,85
247,Hemileccinum,,85
248,Hortiboletus,,85
249,Imleria,,85
250,Lanmaoa,,85
251,Leccinellum,,85
252,Leccinum,,85
253,Mucilopilus,,85
254,Neoboletus,,85
255,Octaviania,,85
256,Parvixerocomus,,85
257,Phylloporus,,85
258,Porphyrellus,,85
259,Pseudoaustroboletus,,85
260,Pseudoboletus,,85
261,Pulveroboletus,,85
262,Retiboletus,,85
263,Rossbeevera,,85
264,Rubinoboletus,,85
265,Rugiboletus,,85
266,Strobilomyces,,85
267,Suillellus,,85
268,Sutorius,,85
269,Turmalinea,,85
270,Tylopilus,ニガイグチ属,85
271,Xanthoconium,,85
272,Xerocomellus,,85
273,Xerocomus,,85
274,Boletinellus,,86
275,Camarops,,87
276,Bombardia,,88
277,Ramophialophora,,88
278,Bondarzewia,,89
279,Gloiodon,,89
280,Heterobasidion,,89
281,Laurilia,,89
282,Lauriliella,,89
283,Stecchericium,,89
284,Wrightoporia,,89
285,Botryobasidium,,90
286,Haplotrichum,,90
287,Auerswaldiella,,91
288,Botryosphaeria,,91
289,Diplodia,,91
290,Dothiora,,91
291,Dothiorella,,91
292,Fusicoccum,,91
293,Lasiodiplodia,,91
294,Macrophoma,,91
295,Macrophomina,,91
296,Microdiplodia,,91
297,Neofusicoccum,,91
298,Neoscytalidium,,91
299,Septorioides,,91
300,Sphaeropsis,,91
301,Dicellomyces,,92
302,Kordyana,,92
303,Meira,,92
304,Brigantiaea,,93
305,Bryoglossum,,94
306,Neocudoniella,,94
307,Buckleyzyma,,95
308,Bulgaria,,96
309,Holwaya,,96
310,Bullera,,97
311,Pseudotremella,,97
312,Bulleribasidium,,98
313,Derxomyces,,98
314,Hannaella,,98
315,Vishniacozyma,,98
316,Barubria,,99
317,Byssolecania,,99
318,Byssoloma,,99
319,Calopadia,,99
320,Eugeniella,,99
321,Fellhanera,,99
322,Fellhaneropsis,,99
323,Lasioloma,,99
324,Leimonis,,99
325,Micarea,,99
326,Sporopodium,,99
327,Tapellaria,,99
328,Arecophila,,100
329,Endocalyx,,100
330,Calcarisporium,,101
331,Calcarisporiella,,102
332,Acroscyphus,,103
333,Amandinea,,103
334,Buellia,,103
335,Calicium,,103
336,Cratiria,,103
337,Diploicia,,103
338,Diplotomma,,103
339,Dirinaria,,103
340,Pyxine,,103
341,Sculptolumina,,103
342,Callistosporium,,104
343,Macrocybe,,104
344,Hyalacrotes,,105
345,Leohumicola,,105
346,Caloscypha,,106
347,Jattaea,,107
348,Natantiella,,107
349,Calostoma,,108
350,Camarosporium,,109
351,Camarosporidiella,,110
352,Glaciozyma,,111
353,Cancellidium,,112
354,Candelaria,,113
355,Candelariella,,113
356,Aithaloderma,,114
357,Apiosporium,,114
358,Astragoxyphium,,114
359,Capnodium,,114
360,Capnophaeum,,114
361,Hypocapnodium,,114
362,Leptoxyphium,,114
363,Phaeocryptopus,,114
364,Tripospermum,,114
365,Carbonicola,,115
366,Caryospora,,116
367,Castanediella,,117
368,Catenomyces,,118
369,Catillaria,,119
370,Cenangium,,120
371,Chlorencoelia,,120
372,Encoelia,,120
373,Heyderia,,120
374,Mitrula,,120
375,Trochila,,120
376,Cephaloascus,,121
377,Albertiniella,,122
378,Phialemonium,,122
379,Ceratobasidium,,123
380,Ceratorhiza,,123
381,Rhizoctonia,,123
382,Thanatephorus,,123
383,Ambrosiella,,124
