id,scientific_name,japanese_name,genus_id,gbif_taxon_key,edibility
15,Abrothallus cetrariae,,20,7824496,
16,Abrothallus parmeliarum,,20,7513752,
17,Abrothallus suecicus,,20,2592384,
18,Acarospora asahinae,,21,3414400,
19,Acarospora fuscata,,21,7250044,
20,Acarospora privigna,,21,3413825,
21,Eiglera flavida,,22,2607832,
22,Myriospora smaragdula,,23,5473779,
23,Sarcogyne endopetrophila,,24,9816200,
24,Sarcogyne lapponica,,24,5473630,
25,Acaulospora longula,,25,2560118,
26,Acaulospora scrobiculata,,25,2560129,
27,Acaulospora spinosa,,25,2560124,
28,Acrodictys bambusicola,,26,3476724,
29,Acrogenospora altissima,,27,2614804,
30,Acrogenospora sphaerocephala,,27,2613618,
31,Acrospermum viticola,,28,3519881,
32,Agaricus,,29,11708081,
33,Agaricus abruptibulbus,ウスキモリノカサ,29,5455910,
34,Agaricus arvensis,オオハラタケ,29,5243403,
35,Agaricus bisporus,,29,5243447,
36,Agaricus blazei,カワリハラタケ,29,5457214,
37,Agaricus callacii,,29,8014858,
38,Agaricus campestris,ハラタケ,29,5243458,
39,Agaricus depauperatus,,29,5243400,
40,Agaricus dulcidulus,,29,5243386,
41,Agaricus jezoensis,キハラタケ,29,5456640,
42,Agaricus lanipes,,29,5243351,
43,Agaricus lapidescens,,29,12213212,
44,Agaricus moelleri,,29,5243496,
45,Agaricus parasubrutilescens,,29,9800073,
46,Agaricus placomyces,ハラタケモドキ,29,5243506,
47,Agaricus purpurellus,コムラサキモリノカサ,29,8225851,
48,Agaricus semotellus,ヒメモリノカサ,29,5455854,
49,Agaricus subrufescens,ニセモリノカサ,29,5243460,
50,Agaricus subrutilescens,ザラエノハラタケ,29,5243396,
51,Agaricus sylvaticus,,29,8108291,
52,Agaricus sylvicola,,29,8365581,
53,Agaricus trisulphuratus,,29,5242791,
54,Arachnion album,シロクモノコタケ,30,2535762,
55,Chamaemyces alphitophyllus,,31,7773562,
56,Chlorophyllum alborubescens,イロガワリシロカラカサタケ,32,5955392,
57,Chlorophyllum molybdites,オオシロカラカサタケ,32,5243168,
58,Chlorophyllum neomastoideum,コカラカサタケ,32,5955381,
59,Chlorophyllum nothorachodes,,32,5955388,
60,Chlorophyllum rachodes,カラカサタケモドキ,32,6014677,
61,Chlorophyllum rhacodes,,32,5955395,
62,Coprinus comatus,ササクレヒトヨタケ,33,7987658,
63,Coprinus leucostictus,,33,3332159,
64,Coprinus sterquilinus,マグソヒトヨタケ,33,2536689,
65,Crucispora rhombisperma,ヒシノミシバフタケ,34,2535237,
66,Cyathus badius,カバイロチャダイゴケ,35,5454166,
67,Cyathus gayanus,,35,5454150,
68,Cyathus gracilis,,35,5454259,
69,Cyathus hookeri,,35,5243123,
70,Cyathus limbatus,,35,5243144,
71,Cyathus melanospermus,,35,5454179,
72,Cyathus microsporus,,35,6014715,
73,Cyathus olla,,35,5243125,
74,Cyathus poeppigii,,35,5454216,
75,Cyathus stercoreus,ハタケチャダイゴケ,35,5243140,
76,Cyathus striatus,スジチャダイゴケ,35,5243151,
77,Cystodermella cinnabarina,チャヒメオニタケ,36,2535150,
78,Cystodermella granulosa,ヒメオニタケ,36,2535164,
